Rank,Driver,Wins,Points
1,Kyle Busch,4,568
2,Brad Keselowski,3,509
3,Martin Truex Jr,3,452
4,Denny Hamlin,2,465
5,Joey Logano,1,564
6,Chase Elliott,1,511
7,Kevin Harvick,0,500
8,Kurt Busch,0,437
9,Ryan Blaney,0,406
10,Clint Bowyer,0,402
11,Alex Bowman,0,395
12,Aric Almirola,0,393
13,Daniel Suarez,0,368
14,William Byron,0,361
15,Erik Jones,0,343
16,Jimmie Johnson,0,342
