Rank,Driver,Points,Diff
1,Kevin Harvick,3067,
2,Denny Hamlin,3048,-19
3,Brad Keselowski,3035,-32
4,Joey Logano,3022,-45
5,Chase Elliott,3021,-46
6,Martin Truex Jr,3016,-51
7,Alex Bowman,3009,-58
8,Austin Dillon,3005,-62
8,Aric Almirola,3005,-62
10,Clint Bowyer,3004,-63
10,Kyle Busch,3004,-63
12,Kurt Busch,3001,-66
13,Cole Custer,2067,-1000
14,William Byron,2062,-1005
15,Ryan Blaney,2058,-1009
16,Matt DiBenedetto,2054,-1013
17,Jimmie Johnson,720,-2347
18,Erik Jones,681,-2386
19,Tyler Reddick,652,-2415
20,Chris Buescher,530,-2537
21,Christopher Bell,526,-2541
