Rank,Driver,Wins,Points
1,Kevin Harvick,6,939
2,Denny Hamlin,5,821
3,Brad Keselowski,3,803
4,Chase Elliott,2,775
5,Joey Logano,2,754
6,Ryan Blaney,1,755
7,Martin Truex Jr,1,753
8,Alex Bowman,1,610
9,Austin Dillon,1,501
10,Cole Custer,1,413
11,Aric Almirola,0,682
12,Kurt Busch,0,673
13,Kyle Busch,0,652
14,Clint Bowyer,0,618
15,Matt DiBenedetto,0,596
16,William Byron,0,577
