Rank,Driver,Points,Diff
1,Kevin Harvick,939,
2,Denny Hamlin,821,-118
3,Brad Keselowski,803,-136
4,Chase Elliott,775,-164
5,Ryan Blaney,755,-184
6,Joey Logano,754,-185
7,Martin Truex Jr,753,-186
8,Aric Almirola,682,-257
9,Kurt Busch,673,-266
10,Kyle Busch,652,-287
11,Clint Bowyer,618,-321
12,Alex Bowman,610,-329
13,Matt DiBenedetto,596,-343
14,William Byron,577,-362
15,Jimmie Johnson,552,-387
16,Erik Jones,542,-397
17,Tyler Reddick,520,-419
18,Austin Dillon,501,-438
19,Christopher Bell,431,-508
20,Cole Custer,413,-526
21,Bubba Wallace,412,-527
