Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,3,88,Alex Bowman,Cincinnati   (Rick Hendrick),Chevrolet,200,running,110,59,6
2,17,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,200,running,0,40,0
3,4,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,200,running,0,40,0
4,13,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,200,running,0,40,0
5,15,2,Brad Keselowski,Discount Tire / America's Tire   (Roger Penske),Ford,200,running,6,44,0
6,28,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,200,running,0,34,0
7,2,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,200,running,10,46,0
8,6,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,200,running,0,36,0
9,5,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,200,running,0,29,0
10,29,20,Erik Jones,Reser's Fine Foods   (Joe Gibbs),Toyota,200,running,0,29,0
11,19,8,Tyler Reddick,I Am Second   (Richard Childress),Chevrolet,200,running,0,26,0
12,7,22,Joey Logano,AAA Southern California   (Roger Penske),Ford,200,running,0,29,0
13,12,21,Matt DiBenedetto,Menards / Quaker State   (Wood Brothers),Ford,200,running,0,27,0
14,38,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,200,running,3,29,0
15,21,24,William Byron,Axalta Kobe Bryant Tribute   (Rick Hendrick),Chevrolet,200,running,1,22,0
16,11,17,Chris Buescher,Fastenal / Wypall   (Jack Roush),Ford,200,running,0,21,0
17,27,6,Ross Chastain,Castrol   (Jack Roush),Ford,200,running,0,0,0
18,18,41,Cole Custer,Haas / Production Alliance Group   (Stewart Haas Racing),Ford,199,running,0,19,0
19,16,12,Ryan Blaney,Body Armor Kobe Bryant Tribute   (Roger Penske),Ford,199,running,54,37,1
20,10,47,Ricky Stenhouse Jr,Kroger / Cheerios / Healthy Choice   (JTG-Daugherty Racing),Chevrolet,199,running,6,7,0
21,9,42,Kyle Larson,McDonald's   (Chip Ganassi),Chevrolet,199,running,0,16,0
22,8,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,199,running,0,15,0
23,1,14,Clint Bowyer,Rush Truck Centers / Haas CNC   (Stewart Haas Racing),Ford,199,running,10,14,0
24,25,3,Austin Dillon,Dow Coatings / Kilz   (Richard Childress),Chevrolet,199,running,0,13,0
25,23,38,John H. Nemechek,Fire Alarm Services   (Bob Jenkins),Ford,199,running,0,12,0
26,24,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,199,running,0,11,0
27,14,43,Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,198,running,0,10,0
28,31,96,Daniel Suarez,Toyota Certified Used Vehicles   (Gaunt Brothers),Toyota,198,running,0,9,0
29,26,32,Corey LaJoie,Pala Casino   (Archie St. Hilaire),Ford,197,running,0,8,0
30,20,37,Ryan Preece,Cottonelle   (JTG-Daugherty Racing),Chevrolet,197,running,0,-3,0
31,30,52,J.J. Yeley,Jacob Companies   (Rick Ware),Ford,197,running,0,0,0
32,32,15,Brennan Poole,Choc Kids   (Jay Robinson),Chevrolet,195,running,0,5,0
33,34,53,Joey Gase,One Legacy   (Rick Ware),Ford,193,running,0,0,0
34,36,51,Garrett Smithley,Rick Ware Racing   (Rick Ware),Chevrolet,193,running,0,3,0
35,35,00,Quin Houff,Victory Weekend   (StarCom Racing),Chevrolet,192,running,0,2,0
36,33,77,Reed Sorenson,Spire Motorsports   (Spire Motorsports),Chevrolet,191,running,0,1,0
37,37,66,Timmy Hill,Manscaped / LasVegas.net   (Carl Long),Toyota,184,running,0,0,0
38,22,95,Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,80,engine,0,1,0
