Rank,Driver,Wins,Points
1,Joey Logano,1,111
2,Alex Bowman,1,110
3,Denny Hamlin,1,94
4,Ryan Blaney,0,122
5,Kevin Harvick,0,110
6,Jimmie Johnson,0,106
7,Chase Elliott,0,105
8,Matt DiBenedetto,0,87
9,Kyle Larson,0,86
10,Aric Almirola,0,84
11,Brad Keselowski,0,82
11,Chris Buescher,0,82
13,Martin Truex Jr,0,79
14,Austin Dillon,0,76
15,Ricky Stenhouse Jr,0,73
16,Clint Bowyer,0,70
