Rank,Driver,Points,Diff
1,Ryan Blaney,122,
2,Joey Logano,111,-11
3,Alex Bowman,110,-12
3,Kevin Harvick,110,-12
5,Jimmie Johnson,106,-16
6,Chase Elliott,105,-17
7,Denny Hamlin,94,-28
8,Matt DiBenedetto,87,-35
9,Kyle Larson,86,-36
10,Aric Almirola,84,-38
11,Chris Buescher,82,-40
11,Brad Keselowski,82,-40
13,Martin Truex Jr,79,-43
14,Austin Dillon,76,-46
15,Ricky Stenhouse Jr,73,-49
16,Clint Bowyer,70,-52
17,Bubba Wallace,69,-53
18,Erik Jones,67,-55
19,Kyle Busch,65,-57
20,William Byron,60,-62
21,Kurt Busch,59,-63
